Description,Brand,Model,S/N,Quantity,Remark,UOM
Distribution box/distribution board 125A K LOK,Distribution box/distribution board 125A K LOK,Distribution box/distribution board 125A K LOK,,3,,
Distribution box/distribution board 250A K LOK,Distribution box/distribution board 250A K LOK,Distribution box/distribution board 250A K LOK,,3,,
POWER SPLITER KLOK,POWER SPLITER KLOK,POWER SPLITER KLOK,,1,,
POWER SPLITER KLOK,POWER SPLITER KLOK,POWER SPLITER KLOK,,2,,
Hamonic Filter 100 Amp.,Hamonic,Hamonic Filter 100 Amp.,S4B456M241010001,1,,
Distribution box/distribution board 63A K LOK,board 63A K LOK,board 63A K LOK,,3,,
Distribution box/distribution board 63A PowerPlug,board 63A PowerPlug,board 63A PowerPlug,,6,,
Distribution box/distribution board 32A PowerPlug,board 32A PowerPlug,board 32A PowerPlug,,5,,
Distribution box 32A PowerPlug Auto,Distribution box 32A PowerPlug Auto,Distribution box 32A PowerPlug Auto,,1,,
Muticore,Muticore,Muticore 50 M,,10,,
Main 1x50 sq.mm 100M,Main 1x50 sq.mm 100M,Main 1x50 sq.mm 100M,,5,,
Main 1x50 sq.mm 50M,Main 1x50 sq.mm 50M,Main 1x50 sq.mm 50M,,10,,
Main 5x35sq.mm 20M,Main 5x35sq.mm 20M,Main 5x35sq.mm 20M,,1,,
Main 5x35sq.mm 10M,Main 5x35sq.mm 10M,Main 5x35sq.mm 10M,,3,,
63A to Cable Lug,63A to Cable Lug,63A to Cable Lug,,5,,
32A to Cable Lug,32A to Cable Lug,32A to Cable Lug,,3,,
Main 1x35 sq.mm 50M,Main 1x35 sq.mm 50M,Main 1x35 sq.mm 50M,,10,,
Main 5x25sq.mm 50M,Main 5x25sq.mm 50M,Main 5x25sq.mm 50M,,2,,
Main 5x16sq.mm 50M,Main 5x16sq.mm 50M,Main 5x16sq.mm 50M,,5,,
Main 5x16sq.mm 30M,Main 5x16sq.mm 30M,Main 5x16sq.mm 30M,,2,,
63A to K-LOK,63A to K-LOK,63A to K-LOK,,3,,
Cable Lug to K-LOK(25SQ.MM),Cable Lug to K-LOK(25SQ.MM),Cable Lug to K-LOK(25SQ.MM),,2,,
Cable Lug to K-LOK(35SQ.MM),Cable Lug to K-LOK(35SQ.MM),Cable Lug to K-LOK(35SQ.MM),,2,,
Cable Lug to K-LOK(50SQ.MM),Cable Lug to K-LOK(50SQ.MM),Cable Lug to K-LOK(50SQ.MM),,3,,
Cable Lug to K-LOK(50SQ.MM),Cable Lug to K-LOK(50SQ.MM),Cable Lug to K-LOK(50SQ.MM),,3,,
Cable Lug to K-LOK(70SQ.MM),Cable Lug to K-LOK(70SQ.MM),Cable Lug to K-LOK(70SQ.MM),,3,,
Electric wire 32A,Electric wire 32A,Electric wire 32A,,1,,
Electric wire 63A,Electric wire 63A,Electric wire 63A,,2,,
Electric wire 63A,Electric wire 63A,Electric wire 63A,,2,,
Main 16a Gray 20 M,Main 16a Gray 20 M,Main 16a Gray 20 M,,15,,
Main 16a Black 50 M,Main 16a Black 50 M,Main 16a Black 50 M,,35,,
Main 16a Black 3 M,Main 16a Black 3 M,Main 16a Black 3 M,,3,,
